;1;2;3;4;5;6;7;8;9;10;11;12;13;14;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;111;112;113;114;115;116;117;118;119;120;121;131;132;133;134;135;136;137;138;139;140;141;142;151;152;153;154;155;156;157;158;159;160;161;171;172;173;174;175;176;177;178;179;180;181;182;191;192;193;194;195;196;197;198;199;200;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;241;242;243;244;245;246;247;248;249;250;251;261
88;0;2;1;0;0;0;0;0;0;1;0;2;0;0;0;3;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;22;0;1;5;0;9;7;0;0;3;0;0;0;1;0;0;0;0;4;7;3;0;2;0;1;13;0;0;7;9;0;2;6;0;1;7;3;0;0;7;2;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;1;1;10
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;26;0;0;5;1;2;11;15;0;4;0;0;0;3;2;2;2;0;1;5;0;0;6;0;2;14;0;10;0;38;5;20;3;0;0;6;7;0;0;9;15;0;0;0;0;0;2;0;0;3;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;5;0;0;3;0;1;0;0;0;0;0;1;4;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0;1;0;0;0;0;2;0;1;0;30
90;0;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;7;39;2;4;1;1;7;1;17;1;9;0;0;0;14;3;0;7;0;0;3;0;0;20;4;3;20;0;8;16;0;1;20;1;0;5;18;23;1;1;7;13;2;0;0;4;0;1;0;0;2;0;1;4;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;4;0;1;0;1;3;0;0;0;0;0;9;1;4;4;2;1;0;3;6;2;0;1;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;9;0;0;1;10;0;0;0;3;0;3;0;0;72
91;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;8;0;2;1;0;0;1;2;0;1;0;0;1;0;0;0;2;0;0;0;3;0;2;2;0;8;0;0;0;2;0;1;9;1;1;3;2;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;1;0;1;0;1;0;0;0;0;15
92;0;2;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;5;44;2;5;2;0;4;0;7;4;18;0;2;0;16;0;1;0;4;3;11;0;2;5;0;0;10;0;5;12;20;1;0;0;0;0;10;20;0;1;1;21;2;0;0;2;0;1;1;1;2;2;1;7;5;1;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;3;0;2;0;1;0;0;0;0;0;0;8;1;0;0;2;0;1;9;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;9;0;2;1;10;0;1;0;2;0;0;1;0;80
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;6;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;3;0;0;1;0;4;0;4;10;3;0;0;0;1;1;6;9;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;1;7
94;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;7;1;6;1;3;0;0;5;0;2;0;0;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;3;0;1;0;1;0;0;0;1;17
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;2;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10
96;0;1;4;0;0;0;0;0;4;0;0;0;7;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;17;4;1;5;1;0;2;1;0;26;0;1;0;14;0;4;1;0;0;6;5;10;115;48;15;33;6;3;4;15;3;15;4;22;1;0;18;6;2;4;24;1;0;1;3;0;2;0;0;2;0;1;2;3;0;2;0;0;1;0;0;0;0;1;2;0;1;7;1;2;3;2;1;0;1;2;0;8;0;4;1;0;1;2;0;0;1;1;7;0;6;7;1;2;3;3;5;1;0;1;0;1;0;0;2;0;1;0;0;0;0;2;0;0;1;0;0;17;1;1;2;38;6;13;0;24;0;2;6;4;265
97;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;3;2;18;1;0;6;1;0;0;14;0;13;0;0;0;21;0;1;5;0;0;4;2;0;9;1;0;2;0;3;22;17;1;22;6;6;0;17;0;0;0;1;2;0;0;0;2;0;0;0;4;2;0;0;8;6;0;2;0;1;2;0;2;0;0;3;2;0;0;0;8;0;0;0;2;0;0;1;1;0;0;7;0;1;0;0;0;0;0;0;6;1;2;0;2;0;0;5;2;7;0;0;1;0;0;0;0;0;0;0;1;0;2;5;0;0;0;0;0;9;0;0;0;12;2;2;0;3;1;1;1;1;111
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;5;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
99;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;2;6;4;1;6;0;0;5;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;14
100;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;3;12;0;1;3;1;6;0;1;0;3;1;1;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;8;3;2;0;1;0;0;0;4;0;0;0;0;3;9;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11
101;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;14;0;2;0;0;1;0;3;1;7;1;0;0;5;0;1;3;0;0;1;6;0;7;3;1;31;0;1;10;13;12;4;4;1;1;5;4;2;4;3;0;1;0;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;4;1;0;0;1;0;0;1;0;30
102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;0;0;0;1;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
111;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;4;0;0;0;0;0;1;0;4;0;2;1;0;0;0;0;0;0;2;0;11;4;3;18;7;3;6;72;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;23;14;11;8;0;0;7;4;0;0;1;0;2;0;0;1;4;3;0;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;17
112;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;35;3;15;8;12;44;1;18;31;0;0;0;0;0;0;0;1;0;0;0;3;4;0;23;0;1;2;3;6;1;0;5;0;1;4;1;0;0;6;0;0;0;0;0;2;3;3;0;2;1;0;14;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;9;0;0;1;0;0;0;0;0;0;0;2;0;24
113;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;22;0;1;7;8;35;79;1;10;58;0;0;0;0;0;3;1;1;1;0;1;0;1;0;6;1;4;1;2;3;5;1;2;3;0;0;2;0;2;4;0;0;0;1;0;4;3;1;1;3;0;1;9;2;1;5;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5;2;0;0;0;0;0;0;5;0;0;0;0;26
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;6;0;1;0;4;7;0;28;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;5;10;1;2;0;0;0;7;3;2;5;1;1;1;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;5;1;0;0;0;0;0;0;3;0;0;0;0;2
115;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;5;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;2;0;0;2;0;0;0;0;1;0;9;14;14;0;0;18;30;11;10;13;85;0;0;1;0;0;0;0;3;0;0;1;4;0;0;7;2;7;2;8;4;1;0;1;8;7;9;2;0;5;15;2;0;2;2;2;4;5;7;2;0;9;5;44;10;3;0;0;0;0;0;0;1;0;0;1;3;0;0;1;0;0;1;1;0;11;0;0;0;1;1;1;0;1;0;0;0;0;40
116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;6;3;14;0;7;5;0;6;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7;0;4;2;12;3;6;0;1;1;1;0;2;0;0;5;0;0;0;0;2;0;2;1;0;1;0;1;11;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;1;1;0;0;0;0;0;2;0;0;14
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;5;4;1;6;0;1;0;0;0;0;0;0;0;6;0;0;5;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;2;2;0;0;23;16;30;5;26;15;0;44;3;29;101;0;0;0;1;0;0;0;2;0;0;0;0;0;1;7;1;1;0;8;5;1;0;2;7;1;6;5;0;0;14;2;0;0;3;0;1;0;1;0;2;2;3;22;6;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;0;8;0;0;0;2;1;1;0;2;0;0;0;0;40
118;0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;3;0;1;1;1;0;0;0;0;1;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;1;6;28;71;4;10;9;21;0;2;50;67;0;0;4;1;0;1;0;7;2;0;3;6;1;0;15;1;6;2;4;7;0;0;2;3;0;3;7;0;0;5;0;0;3;0;0;5;7;0;3;3;1;3;27;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;10;2;0;0;5;1;1;0;1;0;0;2;0;54
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;1;5;0;0;0;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;2;1;0;0;11;0;0;0;0;0;1;0;0;4;0;0;0;8;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;15
120;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;16;12;14;26;10;3;18;58;1;0;37;0;0;0;0;1;1;0;2;0;0;0;2;2;1;13;2;1;3;2;3;1;2;4;7;2;1;7;0;3;2;2;0;2;5;0;2;7;1;0;1;1;0;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;5;0;0;0;1;0;0;0;2;0;0;1;0;40
121;1;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;3;0;1;0;1;1;0;10;6;6;8;7;0;1;0;3;0;3;1;1;0;5;0;1;7;0;0;0;0;0;9;1;0;1;0;0;5;5;0;2;0;4;1;5;4;0;1;0;0;0;53;22;28;6;92;14;80;37;20;35;0;2;0;4;0;0;0;0;2;0;1;2;5;0;1;9;4;5;3;6;15;0;0;6;9;41;20;20;0;1;69;11;2;0;5;1;24;12;4;5;8;4;3;75;28;1;0;0;5;0;0;0;0;0;0;0;0;0;6;5;0;0;1;4;1;36;8;0;4;6;0;3;1;6;1;1;1;0;126
131;5;16;7;2;0;0;0;0;5;7;2;3;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;2;0;0;0;1;0;7;0;3;0;2;1;5;0;1;9;0;0;3;2;0;2;2;1;2;0;1;0;1;4;0;0;0;0;17;4;0;0;0;2;0;0;0;4;0;4;0;1;5;1;1;6;0;1;35;0;27;69;10;16;5;0;51;16;3;1;0;6;5;8;1;7;0;1;2;1;0;0;12;0;1;0;0;0;0;0;0;5;0;3;17;1;0;3;10;6;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;15;0;2;2;10;0;2;0;4;1;6;11;0;298
132;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9;1;1;2;0;3;0;3;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
133;1;6;0;0;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;3;4;0;0;0;2;0;1;0;4;1;2;0;0;4;0;0;0;0;0;1;1;0;0;4;0;2;4;2;0;0;0;0;6;3;0;0;0;0;1;0;4;0;1;8;1;0;6;0;0;3;46;20;0;0;21;11;24;68;23;9;55;127;4;12;4;6;2;14;0;11;8;2;4;0;2;0;4;0;0;3;0;0;0;0;0;5;0;2;2;0;0;0;7;3;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;13;0;0;3;19;0;0;0;5;0;0;2;0;182
134;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0;6;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5
135;2;0;7;2;1;0;6;0;2;6;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;43;4;19;0;0;27;6;10;33;3;45;13;1;2;0;12;5;6;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;2;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;4;2;0;0;0;128
136;0;5;1;8;0;0;0;1;1;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;2;1;0;2;0;1;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;71;3;17;1;7;0;3;16;9;3;50;7;1;0;0;0;1;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;4;6;0;0;0;7;0;0;3;0;67
137;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;3;43;0;9;6;0;4;7;0;31;7;7;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;52
138;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;4;0;0;0;0;9;0;1;0;1;0;0;3;0;0;0;0;0;3;0;1;0;0;0;0;3;1;0;0;0;0;5;0;0;0;0;0;0;1;4;2;6;1;3;4;3;0;2;5;2;3;23;6;2;6;1;0;0;9;14;84;0;1;0;1;5;2;1;4;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;2;0;4;1;4;1;3;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;0;0;0;4;3;0;0;2;0;1;0;0;102
