;1;2;3;4;5;6;7;8;9;10;11;12;13;14;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;111;112;113;114;115;116;117;118;119;120;121;131;132;133;134;135;136;137;138;139;140;141;142;151;152;153;154;155;156;157;158;159;160;161;171;172;173;174;175;176;177;178;179;180;181;182;191;192;193;194;195;196;197;198;199;200;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;241;242;243;244;245;246;247;248;249;250;251;261
139;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;44;4;28;0;21;11;9;7;0;1;52;22;0;2;0;2;10;2;0;0;0;1;1;0;0;0;5;0;2;0;0;0;0;0;0;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;1;1;0;6;0;0;0;0;92
140;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;2;5;8;3;1;1;0;6;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;3;0;0;0;0;0;0;0;0;8
141;3;10;19;9;2;0;3;0;5;6;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;1;0;4;0;0;0;5;1;5;4;0;0;0;0;0;1;3;0;0;0;0;0;2;0;1;0;0;1;3;2;0;0;0;1;0;1;1;0;1;0;0;0;0;0;2;3;96;1;84;0;39;53;46;21;32;1;0;53;5;0;0;8;5;7;0;10;3;1;9;1;3;0;2;0;0;1;1;0;0;0;0;5;4;5;0;2;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;3;11;1;1;1;2;0;1;0;6;10;0;3;0;165
142;1;9;3;7;8;3;1;0;3;3;0;1;5;0;0;0;1;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;0;0;0;0;0;0;3;0;1;0;0;0;2;3;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;1;0;0;0;5;1;5;3;0;3;5;0;4;11;32;6;63;8;18;8;17;151;11;30;38;0;3;1;3;3;8;4;0;7;1;0;1;0;5;1;0;0;0;1;1;0;0;0;0;6;4;0;3;2;0;2;11;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;15;0;0;5;15;0;1;1;6;3;5;0;4;162
151;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;1;1;0;1;0;0;0;2;0;24;3;38;3;38;1;5;17;2;17;0;0;0;0;0;0;4;0;0;0;0;0;6;13;0;2;2;1;0;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;1;0;2;0;56
152;0;3;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;1;0;2;0;2;0;6;5;2;4;1;0;6;0;24;0;6;29;12;35;1;14;17;1;9;0;0;0;1;0;0;1;0;0;0;0;0;6;16;2;2;9;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;5;0;0;1;0;0;0;0;1;0;3;0;0;69
153;0;1;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;3;0;0;0;0;0;2;0;0;0;1;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;36;18;0;23;10;12;24;1;20;21;0;0;2;0;0;1;0;3;0;0;0;2;0;2;0;1;7;9;14;49;3;2;0;0;0;1;0;0;0;5;0;0;0;0;0;6;2;2;0;3;0;0;5;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;1;0;39
154;2;2;1;2;0;0;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;4;0;1;0;2;0;0;5;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;2;0;2;1;0;0;0;0;0;1;0;0;0;8;0;0;9;0;1;1;5;0;5;0;6;2;1;0;7;0;10;5;35;31;1;0;13;46;6;15;20;54;71;0;2;0;0;0;0;0;0;0;0;0;0;13;15;8;4;28;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;4;3;0;11;0;0;1;3;0;0;4;4;0;1;2;0;199
155;0;0;8;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;1;0;2;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;2;0;0;5;0;0;0;12;0;1;3;1;4;5;2;5;7;1;0;4;0;0;1;0;0;1;0;2;2;4;8;25;11;0;44;16;69;45;6;16;0;2;0;1;1;0;2;0;0;0;0;0;11;7;7;2;1;2;3;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;1;86
156;0;0;0;0;2;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;2;0;0;0;0;0;3;1;0;0;3;4;1;4;0;0;0;0;0;0;0;4;0;0;1;0;0;2;1;0;0;0;3;0;1;0;0;0;0;1;5;0;1;2;0;5;1;0;5;19;0;2;2;0;3;0;2;1;3;0;2;7;26;46;8;33;37;0;19;36;58;5;11;0;1;1;2;0;0;10;1;0;0;0;0;10;10;11;2;5;1;3;10;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;0;2;0;1;0;1;0;0;0;0;131
157;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;8;10;10;11;0;0;16;2;0;2;0;0;0;0;4;0;0;0;0;1;4;18;2;11;5;0;21;5;0;2;0;0;2;0;0;0;3;3;0;1;0;0;5;11;5;2;5;1;0;25;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;0;1;0;0;3;0;0;2;0;30
158;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;7;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;20;15;0;14;4;8;4;0;7;17;1;0;11;0;3;0;0;3;1;0;3;5;2;12;53;10;59;36;21;0;19;5;3;1;0;3;5;0;0;19;0;0;0;0;0;5;10;4;0;3;2;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;1;0;0;2;0;3;0;2;0;0;0;0;108
159;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;10;3;0;1;0;2;0;0;3;3;4;0;0;0;0;0;2;1;1;0;2;1;3;4;18;2;33;37;6;28;0;5;6;0;0;0;1;0;0;2;0;0;0;0;0;4;16;2;2;6;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;1;0;0;0;0;30
160;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;1;0;0;1;1;0;5;0;0;0;0;0;0;1;0;0;2;8;3;35;3;8;1;1;0;0;28;0;0;0;0;0;1;1;0;0;0;0;0;1;23;3;0;18;0;5;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;2;3;0;0;0;0;0;0;0;72
161;0;1;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;1;5;0;0;0;0;0;0;1;2;0;0;2;0;0;2;0;0;5;0;0;0;0;1;0;0;4;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;4;2;0;4;0;4;0;1;2;4;11;0;5;0;2;0;5;5;4;0;3;9;5;13;5;67;10;20;2;8;5;24;0;0;0;0;7;0;0;4;0;0;0;0;0;13;39;11;5;47;3;6;5;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;22;6;0;1;11;1;2;4;3;0;0;0;1;237
171;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;3;0;1;0;1;0;1;0;1;0;4;0;0;5;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;4;3;0;5;0;0;0;14;1;0;10;0;0;4;10;0;8;18;0;0;2;0;0;0;0;0;0;0;1;1;0;0;5;1;1;1;1;0;1;0;0;0;8;3;2;0;0;18;3;5;0;9;2;4;4;1;1;4;3;0;13;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;8;1;17;6;0;0;1;0;0;1;1;0;0;0;1;26
172;0;0;0;1;3;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;3;0;0;0;1;0;1;0;7;0;1;0;1;3;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;4;0;0;2;1;2;1;7;1;4;8;0;0;19;1;0;0;0;0;0;0;1;0;0;0;1;1;0;2;0;2;1;2;6;0;0;0;12;0;5;24;0;3;34;30;0;4;2;1;7;3;3;3;2;0;4;26;7;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;5;0;24;1;0;0;2;0;0;0;2;1;0;0;4;44
173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;4;0;1;2;4;4;29;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;3;12;0;4;0;3;31;4;0;3;5;1;3;0;1;0;1;1;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;9;0;0;0;0;1;0;0;0;0;0;0;0;12
174;0;1;0;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;0;1;0;4;0;0;0;1;1;0;18;4;15;1;7;1;0;0;0;1;6;1;8;2;7;1;8;13;1;0;2;0;0;2;0;2;1;0;0;0;2;2;2;0;0;0;4;2;0;0;5;1;2;2;0;5;0;5;0;3;1;2;1;12;3;0;7;0;0;0;0;1;2;0;0;4;0;1;0;1;3;3;3;7;2;0;1;0;34;4;0;0;55;23;15;0;10;3;6;23;0;6;1;3;0;8;23;31;12;0;2;7;0;0;0;0;5;3;0;5;0;1;2;0;0;2;3;2;113;14;0;1;5;0;3;0;5;0;2;3;0;94
175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;9;1;0;0;0;0;0;0;0;0;0;0;0;1
176;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;8;4;3;0;0;0;0;0;0;0;0;0;7;2;0;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0;0;3;0;0;2;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;7;3;32;4;0;2;4;0;5;0;1;9;0;0;2;0;3;0;2;3;4;0;0;6;0;0;0;4;0;0;0;1;1;6;4;3;0;2;0;0;28;2;0;0;6;0;0;0;0;0;0;0;0;21
177;0;1;0;2;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;8;5;0;1;0;0;0;1;0;4;0;3;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;3;2;3;6;0;21;6;2;8;89;0;0;2;0;0;0;0;4;1;0;0;2;1;0;0;0;2;1;3;5;1;0;4;19;36;41;20;0;1;0;20;0;0;6;1;4;7;2;0;1;0;2;32;10;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;24;1;0;0;1;0;0;0;0;0;0;1;0;49
178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;0;4;2;6;4;9;0;1;4;14;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;38;2;10;0;5;30;0;0;2;8;0;4;0;3;0;0;0;2;17;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;12;4;0;0;0;0;0;0;0;0;0;0;0;13
179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;8;0;15;0;1;11;4;0;0;2;0;0;1;0;0;1;0;0;3;7;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;4;4;0;35;7;0;0;0;0;0;0;0;0;0;0;0;10
181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;1;2;6;0;0;4;2;4;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;32;1;9;6;0;0;0;0;0;0;1;0;0;0;0;4
182;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;5;0;3;1;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;3;0;0;0;0;0;0;1;0;0;0;0;2
191;0;9;1;0;1;0;1;0;1;2;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;1;29;16;44;7;8;2;3;0;0;0;29;1;10;4;38;0;1;79;0;0;4;1;0;4;2;1;10;4;0;9;14;3;14;5;1;0;8;7;0;0;0;3;0;3;10;3;1;4;2;5;11;3;4;20;15;2;3;0;4;5;2;0;0;0;7;2;3;2;1;10;2;4;2;7;4;1;13;0;33;2;34;0;22;12;8;4;12;3;0;0;5;43;34;21;3;43;56;118;48;0;0;7;0;0;0;2;0;0;0;0;1;4;0;1;0;2;0;1;30;4;1;2;16;5;3;0;4;1;0;8;2;373
192;0;0;0;5;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;4;0;1;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;4;0;0;0;0;0;0;4;4;11;0;33;0;3;9;0;7;21;1;0;1;0;0;0;0;0;0;0;1;1;6;3;4;22;7;13;24;7;10;10;11;4;1;0;2;0;0;3;2;0;6;0;1;3;0;4;3;30;13;1;44;3;4;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;12;1;0;1;0;0;1;0;1;0;0;0;2;96
193;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;5;0;1;0;0;0;8;3;0;0;5;0;1;5;0;0;5;0;0;2;0;0;0;0;0;1;0;0;4;0;0;1;0;1;0;0;1;0;0;3;1;0;1;3;5;5;8;0;2;1;0;0;3;0;0;1;1;1;0;0;5;8;1;0;0;5;3;3;0;2;1;6;5;0;10;1;6;0;1;7;8;0;1;0;0;34;5;0;0;42;0;13;29;31;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;13;0;0;1;2;0;1;0;4;0;0;0;0;93
194;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;2;1;0;6;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;1;2;0;8;0;2;0;0;3;12;2;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;3;1;3;0;0;4;0;4;5;7;0;0;2;0;1;0;0;0;17;3;14;0;1;4;19;62;21;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;6;0;0;0;0;0;0;0;7;0;0;0;0;40
195;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;6;0;3;2;0;2;2;1;0;2;0;2;2;1;1;2;5;0;0;0;0;1;1;4;0;0;0;3;2;0;0;1;0;0;0;5;0;0;0;0;2;0;0;2;2;0;11;2;7;3;1;0;11;0;0;0;0;1;0;0;3;1;0;0;1;0;7;2;11;3;17;9;4;2;29;13;1;7;0;1;0;3;5;0;0;0;0;0;19;34;50;1;0;1;10;18;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;7;0;0;0;4;0;2;0;0;0;0;2;1;111
196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;4;0;0;16;0;4;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;3;0;0;1;0;0;4;0;0;0;0;1;6;0;0;0;0;4;8;0;0;5;0;1;30;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;24
197;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;5;2;0;1;0;0;0;4;0;2;0;8;0;4;0;4;7;0;0;0;0;0;1;0;5;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;1;0;0;2;0;0;5;0;2;0;3;0;10;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;2;0;3;1;0;9;0;2;0;3;0;2;0;0;0;2;16;4;1;7;5;0;0;17;43;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;3;0;0;2;1;0;0;1;0;0;0;0;0;34
198;0;3;1;0;2;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;14;11;12;6;5;1;5;1;5;0;13;0;7;1;10;2;2;16;0;0;6;2;0;2;1;0;2;1;0;1;1;0;3;0;0;0;8;4;0;1;0;1;0;11;20;10;1;64;17;18;22;15;21;125;6;0;6;0;2;0;0;7;1;0;3;15;1;2;8;1;7;14;9;4;7;5;9;8;73;12;51;0;4;51;18;1;3;3;2;56;28;9;44;22;25;25;0;88;11;0;0;0;0;0;1;2;0;6;0;0;0;3;1;0;1;2;6;1;61;11;0;2;3;2;3;0;7;0;1;3;0;236
